hcp_id,hcp_name,specialty,segment,territory,region,total_prescriptions,total_units_dispensed,average_monthly_prescriptions,active_months,product_breadth,total_calls,total_samples_received,average_call_duration,called_product_breadth,last_call_date,prescriptions_per_call,days_since_last_call,no_call_flag,recent_3m_units,previous_3m_units,recent_growth_pct
H0181,Dr. HCP_0181,Cardiologist,B,South-2,South,218,8432,21.8,10,5,40,147,21.73,5,2026-03-13,5.45,18,0,2231,2725,-18.13
H0182,Dr. HCP_0182,Cardiologist,A,East-2,East,63,2455,6.3,10,5,7,34,17.57,3,2026-03-31,9.0,0,0,826,563,46.71
H0183,Dr. HCP_0183,Endocrinologist,C,South-2,South,89,3395,8.9,10,5,72,298,18.44,5,2026-03-31,1.24,0,0,818,1300,-37.08
H0184,Dr. HCP_0184,General Physician,C,East-1,East,4,209,0.4,3,1,0,0,0.0,0,,,304,1,0,48,-100.0
H0185,Dr. HCP_0185,Endocrinologist,B,North-2,North,147,5915,14.7,10,5,38,152,22.84,5,2026-03-30,3.87,1,0,1374,1977,-30.5
H0186,Dr. HCP_0186,Pulmonologist,B,South-2,South,160,6613,16.0,10,5,33,110,20.15,5,2026-03-21,4.85,10,0,1999,2210,-9.55
H0187,Dr. HCP_0187,Cardiologist,C,East-1,East,9,429,0.9,7,2,0,0,0.0,0,,,304,1,114,57,100.0
H0188,Dr. HCP_0188,Cardiologist,B,East-1,East,0,0,0.0,0,0,0,0,0.0,0,,,304,1,0,0,
H0189,Dr. HCP_0189,Pulmonologist,B,Central-1,Central,153,6162,15.3,10,5,34,133,20.06,5,2026-03-29,4.5,2,0,1497,2020,-25.89
H0190,Dr. HCP_0190,Cardiologist,B,West-2,West,78,2891,7.8,10,5,15,66,16.07,5,2026-02-27,5.2,32,0,1211,779,55.46
H0191,Dr. HCP_0191,Pulmonologist,A,Central-2,Central,18,699,1.8,9,4,4,3,21.0,3,2026-02-01,4.5,58,0,273,189,44.44
H0192,Dr. HCP_0192,Oncologist,C,West-2,West,16,586,1.6,7,5,13,56,23.92,5,2026-03-18,1.23,13,0,55,281,-80.43
H0193,Dr. HCP_0193,Cardiologist,C,South-1,South,64,2719,6.4,10,5,39,130,20.08,5,2026-03-30,1.64,1,0,911,837,8.84
H0194,Dr. HCP_0194,Cardiologist,B,West-2,West,47,1871,4.7,10,5,15,49,19.13,5,2026-03-31,3.13,0,0,775,494,56.88
H0195,Dr. HCP_0195,Oncologist,B,West-1,West,30,1378,3.0,10,5,11,46,19.45,5,2026-03-28,2.73,3,0,533,434,22.81
H0196,Dr. HCP_0196,General Physician,B,Central-2,Central,34,1297,3.4,10,5,13,58,22.77,5,2026-03-20,2.62,11,0,417,412,1.21
H0197,Dr. HCP_0197,Endocrinologist,C,South-1,South,61,2393,6.1,10,5,37,130,22.32,5,2026-03-13,1.65,18,0,913,583,56.6
H0198,Dr. HCP_0198,Endocrinologist,C,North-2,North,123,5061,12.3,10,5,56,215,18.96,5,2026-03-16,2.2,15,0,1343,1350,-0.52
H0199,Dr. HCP_0199,Oncologist,C,Central-1,Central,68,2838,6.8,10,5,35,131,22.14,5,2026-03-30,1.94,1,0,809,892,-9.3
H0200,Dr. HCP_0200,Oncologist,C,Central-1,Central,75,2807,7.5,10,5,49,167,19.37,5,2026-03-28,1.53,3,0,821,931,-11.82
H0201,Dr. HCP_0201,Pulmonologist,B,West-2,West,49,2014,4.9,9,5,16,53,22.0,5,2026-03-22,3.06,9,0,566,596,-5.03
H0202,Dr. HCP_0202,Neurologist,A,East-1,East,5,279,0.5,3,1,0,0,0.0,0,,,304,1,0,58,-100.0
H0203,Dr. HCP_0203,General Physician,A,Central-2,Central,48,2063,4.8,10,4,5,21,23.8,3,2026-03-12,9.6,19,0,487,822,-40.75
H0204,Dr. HCP_0204,General Physician,C,South-2,South,127,4964,12.7,10,5,75,287,18.05,5,2026-03-26,1.69,5,0,1729,1588,8.88
H0205,Dr. HCP_0205,General Physician,B,East-1,East,2,61,0.2,2,1,0,0,0.0,0,,,304,1,0,31,-100.0
H0206,Dr. HCP_0206,Endocrinologist,A,South-1,South,117,4757,11.7,10,5,12,41,19.25,5,2026-03-24,9.75,7,0,1724,1556,10.8
H0207,Dr. HCP_0207,Cardiologist,A,Central-1,Central,62,2170,6.2,10,5,9,46,22.33,4,2026-03-14,6.89,17,0,485,773,-37.26
H0208,Dr. HCP_0208,Oncologist,B,North-1,North,132,5643,13.2,10,5,40,181,18.05,5,2026-03-31,3.3,0,0,1818,1315,38.25
H0209,Dr. HCP_0209,Oncologist,A,Central-2,Central,61,2622,6.1,10,5,9,35,20.67,5,2026-03-09,6.78,22,0,873,535,63.18
H0210,Dr. HCP_0210,Endocrinologist,A,North-1,North,79,3317,7.9,10,5,15,56,20.0,5,2026-03-21,5.27,10,0,514,1282,-59.91
H0211,Dr. HCP_0211,General Physician,B,East-1,East,4,194,0.4,4,1,0,0,0.0,0,,,304,1,58,96,-39.58
H0212,Dr. HCP_0212,General Physician,B,North-2,North,195,7660,19.5,10,5,39,136,18.33,5,2026-03-28,5.0,3,0,2136,1954,9.31
H0213,Dr. HCP_0213,General Physician,B,East-1,East,3,125,0.3,3,1,0,0,0.0,0,,,304,1,0,49,-100.0
H0214,Dr. HCP_0214,Cardiologist,B,West-1,West,26,1034,2.6,10,5,13,48,20.38,5,2026-02-27,2.0,32,0,295,268,10.07
H0215,Dr. HCP_0215,Pulmonologist,C,South-1,South,66,2987,6.6,10,5,40,150,18.45,5,2026-03-22,1.65,9,0,905,899,0.67
H0216,Dr. HCP_0216,Cardiologist,B,North-2,North,120,5223,12.0,10,5,43,211,19.88,5,2026-03-26,2.79,5,0,1849,1727,7.06
H0217,Dr. HCP_0217,Neurologist,B,East-1,East,0,0,0.0,0,0,0,0,0.0,0,,,304,1,0,0,
H0218,Dr. HCP_0218,Cardiologist,C,West-2,West,27,1059,2.7,9,5,23,77,18.87,5,2026-03-29,1.17,2,0,261,365,-28.49
H0219,Dr. HCP_0219,General Physician,B,East-1,East,6,193,0.6,5,2,0,0,0.0,0,,,304,1,119,44,170.45
H0220,Dr. HCP_0220,Neurologist,C,East-1,East,1,21,0.1,1,1,0,0,0.0,0,,,304,1,0,21,-100.0
H0221,Dr. HCP_0221,Cardiologist,B,West-2,West,42,1715,4.2,10,5,11,40,14.73,4,2026-03-13,3.82,18,0,527,416,26.68
H0222,Dr. HCP_0222,General Physician,B,West-1,West,50,2126,5.0,10,4,12,45,15.08,5,2026-02-21,4.17,38,0,594,737,-19.4
H0223,Dr. HCP_0223,Pulmonologist,A,Central-2,Central,64,2606,6.4,10,5,8,44,19.5,4,2026-02-25,8.0,34,0,891,786,13.36
H0224,Dr. HCP_0224,Endocrinologist,B,North-2,North,141,6027,14.1,10,5,31,92,19.45,5,2026-03-24,4.55,7,0,2138,1502,42.34
H0225,Dr. HCP_0225,Neurologist,B,East-1,East,7,250,0.7,4,3,0,0,0.0,0,,,304,1,25,186,-86.56
H0226,Dr. HCP_0226,Oncologist,B,South-1,South,90,3429,9.0,10,5,24,91,18.08,5,2026-03-15,3.75,16,0,1155,995,16.08
H0227,Dr. HCP_0227,Endocrinologist,C,East-1,East,8,381,0.8,6,2,0,0,0.0,0,,,304,1,84,187,-55.08
H0228,Dr. HCP_0228,Cardiologist,B,West-2,West,41,1575,4.1,10,4,8,27,16.88,4,2025-12-22,5.13,99,0,486,463,4.97
H0229,Dr. HCP_0229,Oncologist,C,East-2,East,21,839,2.1,10,5,23,75,20.26,5,2026-03-31,0.91,0,0,479,193,148.19
H0230,Dr. HCP_0230,General Physician,B,East-2,East,54,1990,5.4,10,5,11,35,17.27,5,2026-02-17,4.91,42,0,551,743,-25.84
H0231,Dr. HCP_0231,Pulmonologist,C,South-1,South,39,1728,3.9,10,5,42,156,18.21,5,2026-03-28,0.93,3,0,622,434,43.32
H0232,Dr. HCP_0232,Pulmonologist,B,West-2,West,39,1631,3.9,10,4,18,71,19.89,4,2026-03-17,2.17,14,0,570,546,4.4
H0233,Dr. HCP_0233,Cardiologist,B,Central-1,Central,128,4642,12.8,10,5,27,114,19.81,5,2026-03-08,4.74,23,0,979,1937,-49.46
H0234,Dr. HCP_0234,Pulmonologist,B,North-2,North,185,7167,18.5,10,5,40,148,21.38,5,2026-03-24,4.63,7,0,2091,2316,-9.72
H0235,Dr. HCP_0235,Cardiologist,A,East-2,East,25,964,2.5,9,3,2,10,19.0,2,2025-11-25,12.5,126,0,240,289,-16.96
H0236,Dr. HCP_0236,Cardiologist,C,Central-1,Central,102,3932,10.2,10,5,58,226,20.6,5,2026-03-30,1.76,1,0,894,1922,-53.49
H0237,Dr. HCP_0237,Cardiologist,B,West-1,West,67,2589,6.7,10,5,18,74,20.22,5,2026-03-02,3.72,29,0,696,998,-30.26
H0238,Dr. HCP_0238,Pulmonologist,A,Central-1,Central,53,2100,5.3,10,5,7,34,19.71,3,2026-03-05,7.57,26,0,564,634,-11.04
H0239,Dr. HCP_0239,Cardiologist,B,West-2,West,21,855,2.1,9,4,6,22,22.17,4,2026-02-20,3.5,39,0,252,222,13.51
H0240,Dr. HCP_0240,Neurologist,A,East-1,East,5,120,0.5,4,1,0,0,0.0,0,,,304,1,22,74,-70.27
H0241,Dr. HCP_0241,Oncologist,C,East-1,East,1,22,0.1,1,1,0,0,0.0,0,,,304,1,0,22,-100.0
H0242,Dr. HCP_0242,Cardiologist,C,North-2,North,112,4668,11.2,10,5,63,254,20.68,5,2026-03-20,1.78,11,0,1249,1460,-14.45
H0243,Dr. HCP_0243,Pulmonologist,C,South-1,South,73,2742,7.3,10,5,42,171,21.19,5,2026-03-29,1.74,2,0,718,733,-2.05
H0244,Dr. HCP_0244,Oncologist,B,Central-1,Central,89,3362,8.9,10,5,27,112,19.48,5,2026-03-29,3.3,2,0,1144,902,26.83
H0245,Dr. HCP_0245,Cardiologist,A,South-2,South,287,11848,28.7,10,5,27,106,16.15,5,2026-03-26,10.63,5,0,3450,3824,-9.78
H0246,Dr. HCP_0246,General Physician,C,North-2,North,78,2982,7.8,10,5,47,201,21.96,5,2026-03-19,1.66,12,0,766,1196,-35.95
H0247,Dr. HCP_0247,General Physician,B,West-2,West,52,2012,5.2,10,5,13,61,19.62,5,2026-03-01,4.0,30,0,775,276,180.8
H0248,Dr. HCP_0248,General Physician,C,Central-1,Central,86,3470,8.6,10,5,40,180,21.0,5,2026-03-30,2.15,1,0,1112,1050,5.9
H0249,Dr. HCP_0249,Oncologist,C,West-1,West,27,989,2.7,9,5,16,68,19.31,4,2026-03-20,1.69,11,0,165,345,-52.17
H0250,Dr. HCP_0250,Oncologist,C,South-2,South,95,3784,9.5,10,5,77,319,20.71,5,2026-03-13,1.23,18,0,866,1335,-35.13
H0251,Dr. HCP_0251,Endocrinologist,B,West-1,West,69,3004,6.9,10,5,17,51,19.0,5,2026-02-27,4.06,32,0,1004,688,45.93
H0252,Dr. HCP_0252,Pulmonologist,B,North-2,North,105,3679,10.5,10,5,28,112,20.64,5,2026-03-28,3.75,3,0,1137,881,29.06
H0253,Dr. HCP_0253,Neurologist,C,East-2,East,19,743,1.9,10,4,18,76,20.5,5,2026-03-15,1.06,16,0,315,196,60.71
H0254,Dr. HCP_0254,Pulmonologist,B,North-1,North,148,5954,14.8,10,5,41,184,19.46,5,2026-03-24,3.61,7,0,1835,1464,25.34
H0255,Dr. HCP_0255,Neurologist,A,Central-2,Central,56,2278,5.6,10,5,7,35,23.29,4,2026-02-02,8.0,57,0,603,544,10.85
H0256,Dr. HCP_0256,Oncologist,B,South-1,South,86,3051,8.6,10,5,25,104,18.88,5,2026-03-19,3.44,12,0,926,712,30.06
H0257,Dr. HCP_0257,Pulmonologist,C,East-2,East,23,972,2.3,9,5,19,91,22.21,5,2026-02-15,1.21,44,0,389,105,270.48
H0258,Dr. HCP_0258,Pulmonologist,B,West-2,West,52,2244,5.2,10,4,15,63,21.0,4,2026-03-31,3.47,0,0,513,704,-27.13
H0259,Dr. HCP_0259,Neurologist,B,South-2,South,155,6163,15.5,10,5,36,132,20.67,5,2026-03-25,4.31,6,0,1909,2016,-5.31
H0260,Dr. HCP_0260,Oncologist,A,South-2,South,132,5135,13.2,10,5,23,82,19.09,5,2026-03-25,5.74,6,0,1233,2113,-41.65
H0261,Dr. HCP_0261,General Physician,B,East-2,East,32,1258,3.2,10,5,12,47,20.08,5,2026-03-13,2.67,18,0,498,274,81.75
H0262,Dr. HCP_0262,Oncologist,C,West-1,West,34,1407,3.4,9,4,22,111,20.86,5,2026-03-27,1.55,4,0,363,430,-15.58
H0263,Dr. HCP_0263,Cardiologist,A,West-2,West,35,1349,3.5,10,4,2,12,15.0,2,2026-01-30,17.5,60,0,445,433,2.77
H0264,Dr. HCP_0264,Neurologist,B,Central-1,Central,104,4405,10.4,10,5,26,107,22.27,5,2026-03-30,4.0,1,0,1519,1112,36.6
H0265,Dr. HCP_0265,Oncologist,C,North-2,North,86,3100,8.6,10,5,45,155,20.24,5,2026-03-27,1.91,4,0,1009,996,1.31
H0266,Dr. HCP_0266,Oncologist,C,Central-1,Central,75,3059,7.5,10,5,54,220,19.69,5,2026-03-29,1.39,2,0,1041,874,19.11
H0267,Dr. HCP_0267,Oncologist,B,South-1,South,111,4902,11.1,10,5,30,109,21.43,5,2026-03-08,3.7,23,0,1653,1120,47.59
H0268,Dr. HCP_0268,Oncologist,C,North-2,North,117,5056,11.7,10,5,66,280,19.74,5,2026-03-30,1.77,1,0,1425,1309,8.86
H0269,Dr. HCP_0269,Neurologist,B,East-2,East,37,1462,3.7,9,4,15,65,20.13,5,2026-03-11,2.47,20,0,437,476,-8.19
H0270,Dr. HCP_0270,Pulmonologist,B,North-2,North,151,5892,15.1,10,5,43,180,18.33,5,2026-03-19,3.51,12,0,1843,1720,7.15
H0271,Dr. HCP_0271,General Physician,C,East-2,East,27,1231,2.7,10,3,17,91,18.35,5,2026-03-14,1.59,17,0,557,305,82.62
H0272,Dr. HCP_0272,Cardiologist,C,Central-1,Central,44,1839,4.4,10,5,47,182,21.38,5,2026-03-29,0.94,2,0,452,293,54.27
H0273,Dr. HCP_0273,General Physician,C,South-2,South,158,6276,15.8,10,5,84,387,20.02,5,2026-03-24,1.88,7,0,1905,1445,31.83
H0274,Dr. HCP_0274,General Physician,C,South-2,South,134,5317,13.4,10,5,72,314,19.9,5,2026-03-30,1.86,1,0,1790,1352,32.4
H0275,Dr. HCP_0275,Cardiologist,B,West-1,West,78,3315,7.8,10,5,21,75,24.81,5,2026-03-26,3.71,5,0,726,1255,-42.15
H0276,Dr. HCP_0276,Endocrinologist,B,West-2,West,36,1606,3.6,9,5,16,79,20.5,5,2026-03-11,2.25,20,0,503,571,-11.91
H0277,Dr. HCP_0277,Cardiologist,C,North-1,North,74,3138,7.4,9,5,56,192,18.11,5,2026-03-29,1.32,2,0,715,511,39.92
H0278,Dr. HCP_0278,Pulmonologist,B,North-1,North,158,6307,15.8,10,5,33,110,20.85,5,2026-03-27,4.79,4,0,2291,1197,91.4
H0279,Dr. HCP_0279,Oncologist,C,East-2,East,28,1148,2.8,9,5,19,70,23.58,5,2026-03-08,1.47,23,0,226,348,-35.06
H0280,Dr. HCP_0280,Neurologist,C,South-2,South,68,2778,6.8,9,5,79,268,19.46,5,2026-03-28,0.86,3,0,1489,588,153.23
H0281,Dr. HCP_0281,General Physician,C,Central-2,Central,29,1305,2.9,9,4,16,61,22.38,4,2026-03-05,1.81,26,0,554,429,29.14
H0282,Dr. HCP_0282,Endocrinologist,B,South-1,South,79,3112,7.9,10,5,21,85,19.62,5,2026-03-20,3.76,11,0,879,882,-0.34
H0283,Dr. HCP_0283,Oncologist,B,Central-2,Central,27,894,2.7,9,4,13,38,21.54,4,2026-03-20,2.08,11,0,190,240,-20.83
H0284,Dr. HCP_0284,Neurologist,A,West-2,West,21,824,2.1,9,3,2,0,16.5,2,2025-06-23,10.5,281,0,289,149,93.96
H0285,Dr. HCP_0285,Oncologist,B,South-2,South,130,5249,13.0,10,5,47,204,21.77,5,2026-03-28,2.77,3,0,1815,1781,1.91
H0286,Dr. HCP_0286,Pulmonologist,A,West-2,West,68,2490,6.8,10,3,8,25,24.5,3,2026-03-28,8.5,3,0,688,861,-20.09
H0287,Dr. HCP_0287,Pulmonologist,B,West-2,West,29,1051,2.9,9,5,12,37,16.17,4,2026-02-16,2.42,43,0,349,205,70.24
H0288,Dr. HCP_0288,Oncologist,B,North-2,North,139,5807,13.9,10,5,33,120,19.76,5,2026-03-27,4.21,4,0,1943,1547,25.6
H0289,Dr. HCP_0289,Pulmonologist,B,Central-2,Central,30,1202,3.0,10,5,17,89,22.35,5,2026-03-27,1.76,4,0,267,430,-37.91
H0290,Dr. HCP_0290,Oncologist,B,East-1,East,4,164,0.4,3,1,0,0,0.0,0,,,304,1,0,72,-100.0
H0291,Dr. HCP_0291,Oncologist,A,South-2,South,200,8556,20.0,10,5,22,86,18.55,5,2026-03-20,9.09,11,0,2641,2374,11.25
H0292,Dr. HCP_0292,Endocrinologist,A,North-2,North,146,5808,14.6,10,5,22,110,18.77,5,2026-03-29,6.64,2,0,1314,2290,-42.62
H0293,Dr. HCP_0293,Pulmonologist,C,Central-2,Central,21,703,2.1,9,4,17,74,20.53,5,2026-03-21,1.24,10,0,221,264,-16.29
H0294,Dr. HCP_0294,Cardiologist,B,East-1,East,0,0,0.0,0,0,0,0,0.0,0,,,304,1,0,0,
H0295,Dr. HCP_0295,Cardiologist,A,East-1,East,11,366,1.1,6,3,0,0,0.0,0,,,304,1,48,84,-42.86
H0296,Dr. HCP_0296,General Physician,B,Central-2,Central,40,1605,4.0,10,5,12,47,12.83,5,2026-02-27,3.33,32,0,444,369,20.33
H0297,Dr. HCP_0297,Endocrinologist,C,East-1,East,1,48,0.1,1,1,0,0,0.0,0,,,304,1,0,0,
H0298,Dr. HCP_0298,General Physician,B,South-2,South,196,7402,19.6,10,5,41,155,18.24,5,2026-03-11,4.78,20,0,2077,2068,0.44
H0299,Dr. HCP_0299,Pulmonologist,B,Central-2,Central,61,2595,6.1,10,5,15,41,22.27,5,2026-03-26,4.07,5,0,757,806,-6.08
H0300,Dr. HCP_0300,General Physician,A,North-2,North,169,6909,16.9,10,5,18,61,17.67,5,2026-03-26,9.39,5,0,2022,2427,-16.69
H0301,Dr. HCP_0301,Oncologist,A,East-1,East,7,245,0.7,5,2,0,0,0.0,0,,,304,1,159,0,
H0302,Dr. HCP_0302,Pulmonologist,B,Central-2,Central,44,1601,4.4,10,4,10,39,16.6,3,2026-03-30,4.4,1,0,631,469,34.54
H0303,Dr. HCP_0303,Pulmonologist,B,North-2,North,175,7082,17.5,10,5,46,164,19.22,5,2026-03-17,3.8,14,0,2397,1708,40.34
H0304,Dr. HCP_0304,Endocrinologist,B,West-1,West,51,1964,5.1,10,5,15,50,16.8,5,2026-03-20,3.4,11,0,547,673,-18.72
H0305,Dr. HCP_0305,Neurologist,C,South-1,South,56,2421,5.6,10,5,40,192,20.38,5,2026-03-24,1.4,7,0,521,728,-28.43
H0306,Dr. HCP_0306,Neurologist,C,Central-1,Central,91,3379,9.1,10,5,49,227,20.27,5,2026-03-28,1.86,3,0,1001,763,31.19
H0307,Dr. HCP_0307,Pulmonologist,B,South-1,South,86,3711,8.6,10,5,29,107,17.86,5,2026-03-19,2.97,12,0,1168,952,22.69
H0308,Dr. HCP_0308,General Physician,B,East-1,East,0,0,0.0,0,0,0,0,0.0,0,,,304,1,0,0,
H0309,Dr. HCP_0309,Oncologist,C,North-2,North,101,4135,10.1,10,5,56,253,20.68,5,2026-03-29,1.8,2,0,1534,1048,46.37
H0310,Dr. HCP_0310,Endocrinologist,B,South-1,South,114,4192,11.4,10,5,29,103,18.31,5,2026-03-25,3.93,6,0,1163,1181,-1.52
H0311,Dr. HCP_0311,Pulmonologist,B,Central-1,Central,99,3904,9.9,10,5,31,126,21.84,5,2026-03-26,3.19,5,0,1797,912,97.04
H0312,Dr. HCP_0312,Cardiologist,A,West-1,West,45,1996,4.5,10,5,8,34,22.13,4,2026-03-28,5.63,3,0,676,892,-24.22
H0313,Dr. HCP_0313,Cardiologist,A,Central-1,Central,124,5252,12.4,10,5,17,56,21.41,5,2026-01-26,7.29,64,0,1735,1594,8.85
H0314,Dr. HCP_0314,General Physician,C,East-2,East,15,613,1.5,8,3,14,41,21.71,5,2026-03-06,1.07,25,0,206,180,14.44
H0315,Dr. HCP_0315,Oncologist,C,Central-2,Central,9,434,0.9,5,4,9,38,20.78,4,2026-03-10,1.0,21,0,0,219,-100.0
H0316,Dr. HCP_0316,General Physician,B,North-2,North,156,5578,15.6,10,5,38,159,23.16,5,2026-03-31,4.11,0,0,1391,1975,-29.57
H0317,Dr. HCP_0317,Cardiologist,B,West-2,West,42,1903,4.2,10,4,8,34,21.5,4,2026-01-09,5.25,81,0,694,482,43.98
H0318,Dr. HCP_0318,Endocrinologist,A,Central-2,Central,64,2560,6.4,10,5,9,38,25.56,5,2026-03-06,7.11,25,0,688,823,-16.4
H0319,Dr. HCP_0319,General Physician,A,West-2,West,38,1521,3.8,10,3,6,28,21.17,3,2026-03-28,6.33,3,0,672,393,70.99
H0320,Dr. HCP_0320,Cardiologist,B,West-1,West,71,3155,7.1,10,5,21,85,21.0,5,2026-03-08,3.38,23,0,543,1232,-55.93
H0321,Dr. HCP_0321,Cardiologist,B,North-1,North,161,6222,16.1,10,5,30,124,22.0,5,2026-03-04,5.37,27,0,1888,1425,32.49
H0322,Dr. HCP_0322,Cardiologist,C,West-2,West,17,657,1.7,9,5,19,72,20.37,5,2026-03-30,0.89,1,0,101,197,-48.73
H0323,Dr. HCP_0323,Neurologist,B,South-2,South,298,12996,29.8,10,5,57,206,21.14,5,2026-03-31,5.23,0,0,3622,3351,8.09
H0324,Dr. HCP_0324,Oncologist,B,West-1,West,22,787,2.2,9,5,10,52,18.4,4,2026-03-25,2.2,6,0,189,236,-19.92
H0325,Dr. HCP_0325,Oncologist,C,Central-1,Central,86,3477,8.6,10,5,44,164,20.43,5,2026-03-31,1.95,0,0,1115,1065,4.69
H0326,Dr. HCP_0326,General Physician,C,West-1,West,23,982,2.3,9,5,22,82,21.18,5,2026-03-14,1.05,17,0,441,320,37.81
H0327,Dr. HCP_0327,Neurologist,B,West-2,West,31,1008,3.1,10,5,11,44,19.09,5,2026-02-15,2.82,44,0,241,310,-22.26
H0328,Dr. HCP_0328,Cardiologist,B,East-1,East,1,49,0.1,1,1,0,0,0.0,0,,,304,1,0,0,
H0329,Dr. HCP_0329,Oncologist,B,South-2,South,138,5604,13.8,10,5,42,165,20.21,5,2026-03-25,3.29,6,0,1634,1870,-12.62
H0330,Dr. HCP_0330,Pulmonologist,B,South-2,South,249,9816,24.9,10,5,58,243,18.4,5,2026-03-29,4.29,2,0,2956,3042,-2.83
H0331,Dr. HCP_0331,Neurologist,B,East-2,East,38,1623,3.8,10,5,12,56,16.92,5,2026-02-12,3.17,47,0,626,321,95.02
H0332,Dr. HCP_0332,Oncologist,C,North-1,North,92,3877,9.2,10,5,60,241,19.62,5,2026-03-28,1.53,3,0,1116,1209,-7.69
H0333,Dr. HCP_0333,Cardiologist,A,South-2,South,200,8321,20.0,10,5,18,83,16.44,5,2026-03-24,11.11,7,0,2315,2780,-16.73
H0334,Dr. HCP_0334,General Physician,A,North-2,North,82,3253,8.2,10,5,22,86,16.32,5,2026-03-18,3.73,13,0,857,1249,-31.39
H0335,Dr. HCP_0335,Cardiologist,A,Central-2,Central,14,577,1.4,8,5,3,13,27.33,3,2026-02-26,4.67,33,0,173,176,-1.7
H0336,Dr. HCP_0336,Endocrinologist,A,East-2,East,43,1610,4.3,10,4,5,31,20.8,4,2026-03-11,8.6,20,0,274,509,-46.17
H0337,Dr. HCP_0337,Endocrinologist,C,Central-2,Central,19,723,1.9,9,4,16,67,18.88,5,2026-03-13,1.19,18,0,229,224,2.23
H0338,Dr. HCP_0338,Endocrinologist,C,Central-1,Central,45,1889,4.5,10,5,39,132,20.03,5,2026-03-21,1.15,10,0,817,535,52.71
H0339,Dr. HCP_0339,Pulmonologist,B,South-2,South,194,7858,19.4,10,5,53,202,20.77,5,2026-03-21,3.66,10,0,2848,2095,35.94
H0340,Dr. HCP_0340,Cardiologist,A,Central-2,Central,67,2651,6.7,10,5,8,34,22.25,4,2026-03-12,8.38,19,0,742,739,0.41
H0341,Dr. HCP_0341,Endocrinologist,B,South-1,South,92,3617,9.2,10,5,26,112,19.38,5,2026-03-25,3.54,6,0,887,991,-10.49
H0342,Dr. HCP_0342,Cardiologist,B,South-1,South,125,4916,12.5,10,5,25,77,19.56,5,2026-03-26,5.0,5,0,1621,1214,33.53
H0343,Dr. HCP_0343,Cardiologist,A,South-1,South,58,2420,5.8,10,5,5,14,22.6,4,2026-02-14,11.6,45,0,954,791,20.61
H0344,Dr. HCP_0344,Neurologist,B,South-2,South,175,7584,17.5,10,5,47,186,19.34,5,2026-03-23,3.72,8,0,2263,2103,7.61
H0345,Dr. HCP_0345,Endocrinologist,B,North-1,North,136,5309,13.6,10,5,40,167,21.63,5,2026-03-31,3.4,0,0,1466,1434,2.23
H0346,Dr. HCP_0346,Endocrinologist,B,North-1,North,130,4593,13.0,10,5,27,110,21.3,5,2026-03-21,4.81,10,0,1625,1179,37.83
H0347,Dr. HCP_0347,Cardiologist,B,Central-1,Central,97,3427,9.7,10,5,31,124,20.77,5,2026-03-23,3.13,8,0,813,978,-16.87
H0348,Dr. HCP_0348,Oncologist,A,West-2,West,60,2359,6.0,10,5,7,26,22.14,4,2026-03-22,8.57,9,0,884,655,34.96
H0349,Dr. HCP_0349,Neurologist,B,Central-1,Central,144,5883,14.4,10,5,34,156,17.35,5,2026-03-21,4.24,10,0,1743,1169,49.1
H0350,Dr. HCP_0350,Neurologist,B,West-2,West,62,2655,6.2,10,5,19,78,24.16,5,2026-02-17,3.26,42,0,979,494,98.18
H0351,Dr. HCP_0351,Cardiologist,B,Central-2,Central,42,1664,4.2,9,4,16,62,19.06,5,2026-03-18,2.63,13,0,562,517,8.7
H0352,Dr. HCP_0352,General Physician,C,West-2,West,15,593,1.5,8,5,26,109,21.38,5,2026-03-18,0.58,13,0,135,167,-19.16
H0353,Dr. HCP_0353,Oncologist,B,North-1,North,60,2556,6.0,10,5,31,103,22.77,5,2026-03-08,1.94,23,0,719,627,14.67
H0354,Dr. HCP_0354,General Physician,A,West-1,West,28,1094,2.8,9,4,4,11,20.0,3,2025-12-14,7.0,107,0,184,196,-6.12
H0355,Dr. HCP_0355,General Physician,A,West-2,West,40,1564,4.0,10,5,7,33,16.86,5,2026-02-10,5.71,49,0,484,379,27.7
H0356,Dr. HCP_0356,Cardiologist,B,North-2,North,131,5246,13.1,10,5,38,163,17.97,5,2026-03-25,3.45,6,0,1774,1394,27.26
H0357,Dr. HCP_0357,Endocrinologist,A,Central-2,Central,43,1858,4.3,10,3,5,19,20.4,3,2026-03-09,8.6,22,0,317,705,-55.04
H0358,Dr. HCP_0358,Pulmonologist,B,South-1,South,61,2477,6.1,10,5,31,133,20.06,5,2026-03-17,1.97,14,0,811,634,27.92
H0359,Dr. HCP_0359,Neurologist,C,West-1,West,21,783,2.1,9,5,13,54,22.31,5,2026-03-20,1.62,11,0,86,264,-67.42
H0360,Dr. HCP_0360,Neurologist,B,West-2,West,35,1497,3.5,10,3,11,27,21.64,3,2026-02-21,3.18,38,0,402,435,-7.59
H0361,Dr. HCP_0361,General Physician,B,North-2,North,90,3455,9.0,10,5,29,151,20.34,5,2026-03-29,3.1,2,0,1017,1370,-25.77
H0362,Dr. HCP_0362,General Physician,B,Central-1,Central,92,3905,9.2,10,5,37,144,19.19,5,2026-03-27,2.49,4,0,1536,915,67.87
